source_type,model,week,cumulative_activation,source
PC NB,UM5406GA,W2623,0,seed
PC NB,UM5406GA,W2624,0,seed
PC NB,UM5406GA,W2625,0,seed
PC NB,UM5406GA,W2626,0,seed
PC NB,UM5606GA,W2601,0,seed
PC NB,UM5606GA,W2602,0,seed
PC NB,UM5606GA,W2603,0,seed
PC NB,UM5606GA,W2604,0,seed
PC NB,UM5606GA,W2605,0,seed
PC NB,UM5606GA,W2606,0,seed
PC NB,UM5606GA,W2607,561,seed
PC NB,UM5606GA,W2608,727,seed
PC NB,UM5606GA,W2609,972,seed
PC NB,UM5606GA,W2610,1242,seed
PC NB,UM5606GA,W2611,1517,seed
PC NB,UM5606GA,W2612,1835,seed
PC NB,UM5606GA,W2613,2153,seed
PC NB,UM5606GA,W2614,2416,seed
PC NB,UM5606GA,W2615,2687,seed
PC NB,UM5606GA,W2616,2971,seed
PC NB,UM5606GA,W2617,3249,seed
PC NB,UM5606GA,W2618,3570,seed
PC NB,UM5606GA,W2619,3916,seed
PC NB,UM5606GA,W2620,4311,seed
PC NB,UM5606GA,W2621,4724,seed
PC NB,UM5606GA,W2622,5150,seed
PC NB,UM5606GA,W2623,5611,seed
PC NB,UM5606GA,W2624,6095,seed
PC NB,UM5606GA,W2625,6675,seed
PC NB,UM5606GA,W2626,7218,seed
PC NB,UX3407NA,W2601,0,seed
PC NB,UX3407NA,W2602,0,seed
PC NB,UX3407NA,W2603,0,seed
PC NB,UX3407NA,W2604,0,seed
PC NB,UX3407NA,W2605,0,seed
PC NB,UX3407NA,W2606,0,seed
PC NB,UX3407NA,W2607,0,seed
PC NB,UX3407NA,W2608,0,seed
PC NB,UX3407NA,W2609,0,seed
PC NB,UX3407NA,W2610,0,seed
PC NB,UX3407NA,W2611,0,seed
PC NB,UX3407NA,W2612,0,seed
PC NB,UX3407NA,W2613,0,seed
PC NB,UX3407NA,W2614,0,seed
PC NB,UX3407NA,W2615,0,seed
PC NB,UX3407NA,W2616,0,seed
PC NB,UX3407NA,W2617,0,seed
PC NB,UX3407NA,W2618,0,seed
PC NB,UX3407NA,W2619,0,seed
PC NB,UX3407NA,W2620,0,seed
PC NB,UX3407NA,W2621,0,seed
PC NB,UX3407NA,W2622,704,seed
PC NB,UX3407NA,W2623,775,seed
PC NB,UX3407NA,W2624,855,seed
PC NB,UX3407NA,W2625,946,seed
PC NB,UX3407NA,W2626,1020,seed
PC NB,UX3607OA,W2601,0,seed
PC NB,UX3607OA,W2602,0,seed
PC NB,UX3607OA,W2603,0,seed
PC NB,UX3607OA,W2604,0,seed
PC NB,UX3607OA,W2605,0,seed
PC NB,UX3607OA,W2606,0,seed
PC NB,UX3607OA,W2607,0,seed
PC NB,UX3607OA,W2608,0,seed
PC NB,UX3607OA,W2609,0,seed
PC NB,UX3607OA,W2610,0,seed
PC NB,UX3607OA,W2611,0,seed
PC NB,UX3607OA,W2612,0,seed
PC NB,UX3607OA,W2613,0,seed
PC NB,UX3607OA,W2614,0,seed
PC NB,UX3607OA,W2615,0,seed
PC NB,UX3607OA,W2616,0,seed
PC NB,UX3607OA,W2617,0,seed
PC NB,UX3607OA,W2618,0,seed
PC NB,UX3607OA,W2619,944,seed
PC NB,UX3607OA,W2620,1118,seed
PC NB,UX3607OA,W2621,1306,seed
PC NB,UX3607OA,W2622,1439,seed
PC NB,UX3607OA,W2623,1595,seed
PC NB,UX3607OA,W2624,1743,seed
PC NB,UX3607OA,W2625,1934,seed
PC NB,UX3607OA,W2626,2104,seed
PC NB,UX3607QA,W2601,0,seed
PC NB,UX3607QA,W2602,0,seed
PC NB,UX3607QA,W2603,0,seed
PC NB,UX3607QA,W2604,0,seed
PC NB,UX3607QA,W2605,0,seed
PC NB,UX3607QA,W2606,0,seed
PC NB,UX3607QA,W2607,0,seed
PC NB,UX3607QA,W2608,0,seed
PC NB,UX3607QA,W2609,0,seed
PC NB,UX3607QA,W2610,0,seed
PC NB,UX3607QA,W2611,0,seed
PC NB,UX3607QA,W2612,0,seed
PC NB,UX3607QA,W2613,0,seed
PC NB,UX3607QA,W2614,0,seed
PC NB,UX3607QA,W2615,0,seed
PC NB,UX3607QA,W2616,0,seed
PC NB,UX3607QA,W2617,0,seed
PC NB,UX3607QA,W2618,0,seed
PC NB,UX3607QA,W2619,0,seed
PC NB,UX3607QA,W2620,0,seed
PC NB,UX3607QA,W2621,0,seed
PC NB,UX3607QA,W2622,0,seed
PC NB,UX3607QA,W2623,0,seed
PC NB,UX3607QA,W2624,0,seed
PC NB,UX3607QA,W2625,0,seed
PC NB,UX3607QA,W2626,0,seed
PC NB,UX5406AA,W2601,0,seed
PC NB,UX5406AA,W2602,0,seed
PC NB,UX5406AA,W2603,0,seed
PC NB,UX5406AA,W2604,0,seed
PC NB,UX5406AA,W2605,0,seed
PC NB,UX5406AA,W2606,0,seed
PC NB,UX5406AA,W2607,0,seed
PC NB,UX5406AA,W2608,0,seed
PC NB,UX5406AA,W2609,0,seed
PC NB,UX5406AA,W2610,496,seed
PC NB,UX5406AA,W2611,795,seed
PC NB,UX5406AA,W2612,1034,seed
PC NB,UX5406AA,W2613,1275,seed
PC NB,UX5406AA,W2614,1469,seed
PC NB,UX5406AA,W2615,1692,seed
PC NB,UX5406AA,W2616,1909,seed
PC NB,UX5406AA,W2617,2201,seed
PC NB,UX5406AA,W2618,2464,seed
PC NB,UX5406AA,W2619,2764,seed
PC NB,UX5406AA,W2620,3034,seed
PC NB,UX5406AA,W2621,3419,seed
PC NB,UX5406AA,W2622,3761,seed
PC NB,UX5406AA,W2623,4091,seed
PC NB,UX5406AA,W2624,4414,seed
PC NB,UX5406AA,W2625,4806,seed
PC NB,UX5406AA,W2626,5222,seed
Gaming NB,FA401EA,W2601,0,seed
Gaming NB,FA401EA,W2602,0,seed
Gaming NB,FA401EA,W2603,0,seed
Gaming NB,FA401EA,W2604,0,seed
Gaming NB,FA401EA,W2605,0,seed
Gaming NB,FA401EA,W2606,299,seed
Gaming NB,FA401EA,W2607,437,seed
Gaming NB,FA401EA,W2608,532,seed
Gaming NB,FA401EA,W2609,701,seed
Gaming NB,FA401EA,W2610,857,seed
Gaming NB,FA401EA,W2611,1014,seed
Gaming NB,FA401EA,W2612,1159,seed
Gaming NB,FA401EA,W2613,1295,seed
Gaming NB,FA401EA,W2614,1455,seed
Gaming NB,FA401EA,W2615,1590,seed
Gaming NB,FA401EA,W2616,1706,seed
Gaming NB,FA401EA,W2617,1817,seed
Gaming NB,FA401EA,W2618,1916,seed
Gaming NB,FA401EA,W2619,1994,seed
Gaming NB,FA401EA,W2620,2093,seed
Gaming NB,FA401EA,W2621,2191,seed
Gaming NB,FA401EA,W2622,2315,seed
Gaming NB,FA401EA,W2623,2462,seed
Gaming NB,FA401EA,W2624,2610,seed
Gaming NB,FA401EA,W2625,2791,seed
Gaming NB,FA401EA,W2626,2932,seed
Gaming NB,FA401GH,W2601,0,seed
Gaming NB,FA401GH,W2602,0,seed
Gaming NB,FA401GH,W2603,0,seed
Gaming NB,FA401GH,W2604,0,seed
Gaming NB,FA401GH,W2605,0,seed
Gaming NB,FA401GH,W2606,0,seed
Gaming NB,FA401GH,W2607,0,seed
Gaming NB,FA401GH,W2608,0,seed
Gaming NB,FA401GH,W2609,0,seed
Gaming NB,FA401GH,W2610,0,seed
Gaming NB,FA401GH,W2611,0,seed
Gaming NB,FA401GH,W2612,0,seed
Gaming NB,FA401GH,W2613,0,seed
Gaming NB,FA401GH,W2614,0,seed
Gaming NB,FA401GH,W2615,0,seed
Gaming NB,FA401GH,W2616,0,seed
Gaming NB,FA401GH,W2617,0,seed
Gaming NB,FA401GH,W2618,0,seed
Gaming NB,FA401GH,W2619,0,seed
Gaming NB,FA401GH,W2620,0,seed
Gaming NB,FA401GH,W2621,0,seed
Gaming NB,FA401GH,W2622,0,seed
Gaming NB,FA401GH,W2623,0,seed
Gaming NB,FA401GH,W2624,0,seed
Gaming NB,FA401GH,W2625,0,seed
Gaming NB,FA401GH,W2626,0,seed
Gaming NB,FA401GM,W2601,0,seed
Gaming NB,FA401GM,W2602,0,seed
Gaming NB,FA401GM,W2603,0,seed
Gaming NB,FA401GM,W2604,0,seed
Gaming NB,FA401GM,W2605,0,seed
Gaming NB,FA401GM,W2606,0,seed
Gaming NB,FA401GM,W2607,0,seed
Gaming NB,FA401GM,W2608,0,seed
Gaming NB,FA401GM,W2609,865,seed
Gaming NB,FA401GM,W2610,1054,seed
Gaming NB,FA401GM,W2611,1216,seed
Gaming NB,FA401GM,W2612,1376,seed
Gaming NB,FA401GM,W2613,1535,seed
Gaming NB,FA401GM,W2614,1708,seed
Gaming NB,FA401GM,W2615,1865,seed
Gaming NB,FA401GM,W2616,2055,seed
Gaming NB,FA401GM,W2617,2234,seed
Gaming NB,FA401GM,W2618,2408,seed
Gaming NB,FA401GM,W2619,2556,seed
Gaming NB,FA401GM,W2620,2761,seed
Gaming NB,FA401GM,W2621,2986,seed
Gaming NB,FA401GM,W2622,3194,seed
Gaming NB,FA401GM,W2623,3514,seed
Gaming NB,FA401GM,W2624,3870,seed
Gaming NB,FA401GM,W2625,4414,seed
Gaming NB,FA401GM,W2626,4765,seed
Gaming NB,FA617NTQ,W2601,0,seed
Gaming NB,FA617NTQ,W2602,0,seed
Gaming NB,FA617NTQ,W2603,0,seed
Gaming NB,FA617NTQ,W2604,0,seed
Gaming NB,FA617NTQ,W2605,0,seed
Gaming NB,FA617NTQ,W2606,0,seed
Gaming NB,FA617NTQ,W2607,0,seed
Gaming NB,FA617NTQ,W2608,0,seed
Gaming NB,FA617NTQ,W2609,0,seed
Gaming NB,FA617NTQ,W2610,0,seed
Gaming NB,FA617NTQ,W2611,0,seed
Gaming NB,FA617NTQ,W2612,0,seed
Gaming NB,FA617NTQ,W2613,0,seed
Gaming NB,FA617NTQ,W2614,0,seed
Gaming NB,FA617NTQ,W2615,370,seed
Gaming NB,FA617NTQ,W2616,392,seed
Gaming NB,FA617NTQ,W2617,433,seed
Gaming NB,FA617NTQ,W2618,487,seed
Gaming NB,FA617NTQ,W2619,544,seed
Gaming NB,FA617NTQ,W2620,614,seed
Gaming NB,FA617NTQ,W2621,665,seed
Gaming NB,FA617NTQ,W2622,746,seed
Gaming NB,FA617NTQ,W2623,840,seed
Gaming NB,FA617NTQ,W2624,1056,seed
Gaming NB,FA617NTQ,W2625,1357,seed
Gaming NB,FA617NTQ,W2626,1722,seed
Gaming NB,FX608JHI,W2601,0,seed
Gaming NB,FX608JHI,W2602,0,seed
Gaming NB,FX608JHI,W2603,0,seed
Gaming NB,FX608JHI,W2604,0,seed
Gaming NB,FX608JHI,W2605,0,seed
Gaming NB,FX608JHI,W2606,0,seed
Gaming NB,FX608JHI,W2607,0,seed
Gaming NB,FX608JHI,W2608,0,seed
Gaming NB,FX608JHI,W2609,0,seed
Gaming NB,FX608JHI,W2610,0,seed
Gaming NB,FX608JHI,W2611,0,seed
Gaming NB,FX608JHI,W2612,0,seed
Gaming NB,FX608JHI,W2613,0,seed
Gaming NB,FX608JHI,W2614,0,seed
Gaming NB,FX608JHI,W2615,0,seed
Gaming NB,FX608JHI,W2616,0,seed
Gaming NB,FX608JHI,W2617,0,seed
Gaming NB,FX608JHI,W2618,0,seed
Gaming NB,FX608JHI,W2619,0,seed
Gaming NB,FX608JHI,W2620,0,seed
Gaming NB,FX608JHI,W2621,0,seed
Gaming NB,FX608JHI,W2622,0,seed
Gaming NB,FX608JHI,W2623,0,seed
Gaming NB,FX608JHI,W2624,0,seed
Gaming NB,FX608JHI,W2625,0,seed
Gaming NB,FX608JHI,W2626,0,seed
Gaming NB,FX608JHR,W2601,0,seed
Gaming NB,FX608JHR,W2602,0,seed
Gaming NB,FX608JHR,W2603,0,seed
Gaming NB,FX608JHR,W2604,0,seed
Gaming NB,FX608JHR,W2605,0,seed
Gaming NB,FX608JHR,W2606,0,seed
Gaming NB,FX608JHR,W2607,0,seed
Gaming NB,FX608JHR,W2608,0,seed
Gaming NB,FX608JHR,W2609,0,seed
Gaming NB,FX608JHR,W2610,0,seed
Gaming NB,FX608JHR,W2611,0,seed
Gaming NB,FX608JHR,W2612,0,seed
Gaming NB,FX608JHR,W2613,0,seed
Gaming NB,FX608JHR,W2614,0,seed
Gaming NB,FX608JHR,W2615,0,seed
Gaming NB,FX608JHR,W2616,0,seed
Gaming NB,FX608JHR,W2617,0,seed
Gaming NB,FX608JHR,W2618,0,seed
Gaming NB,FX608JHR,W2619,0,seed
Gaming NB,FX608JHR,W2620,0,seed
Gaming NB,FX608JHR,W2621,0,seed
Gaming NB,FX608JHR,W2622,0,seed
Gaming NB,FX608JHR,W2623,0,seed
Gaming NB,FX608JHR,W2624,0,seed
Gaming NB,FX608JHR,W2625,0,seed
Gaming NB,FX608JHR,W2626,0,seed
Gaming NB,FX608JMI,W2601,0,seed
Gaming NB,FX608JMI,W2602,0,seed
Gaming NB,FX608JMI,W2603,0,seed
Gaming NB,FX608JMI,W2604,0,seed
Gaming NB,FX608JMI,W2605,0,seed
Gaming NB,FX608JMI,W2606,0,seed
Gaming NB,FX608JMI,W2607,0,seed
